tag_id,asset_id,brand_name,tag_name,tag_type,confidence,detection_id,video_url,download_link,start_time_stamp,end_time_stamp,start_frame,end_frame,publication_date,title,description,views,comments,likes,shares,created_at,social_media,publication_year
01GPKM08QYP6JP0PVE7C627X5D,01GE2B9H14HA26X7VF6D4XTA30,Kenra US,white,FACE,0.867956,01GPKM08QY01KA28S66GCVM8WH,https://www.tiktok.com/@kenraprofessional/video/7121767786124217642,j_l8kc8f4p2peu45lccf.c6fc60a5ef1bda9821e812393e6fcb8f7b385d1b.file_l8kcejvu2h10zmyxiu.S3_link_of_the_video.mp4,00:00:06,00:00:12,150,300,2022-07-18 17:36:19,kenraprofessional,"It's not a hot girl summer without a messy, low bun  @Maddie Perry used #kenra Blow-Dry Spray for anti-frizz & humidity.#kenraprofessonal #kenrapartner #lowbun #summerhair #summerhairstyles",882,2,30,0,2022-09-27 15:26:03.955173,TikTok,2022
01GPKM08S7MJTK0YB7BM8QA20F,01GE2B9H14HA26X7VF6D4XTA30,Kenra US,asian,FACE,0.852757,01GPKM08S7Q2T5DPT2T1X7M14A,https://www.tiktok.com/@kenraprofessional/video/7121767786124217642,j_l8kc8f4p2peu45lccf.c6fc60a5ef1bda9821e812393e6fcb8f7b385d1b.file_l8kcejvu2h10zmyxiu.S3_link_of_the_video.mp4,00:00:13,00:00:13,325,325,2022-07-18 17:36:19,kenraprofessional,"It's not a hot girl summer without a messy, low bun  @Maddie Perry used #kenra Blow-Dry Spray for anti-frizz & humidity.#kenraprofessonal #kenrapartner #lowbun #summerhair #summerhairstyles",882,2,30,0,2022-09-27 15:26:03.955173,TikTok,2022
01GPKM074DW1H6PRE60YM8C65K,01GE2B9H18DH89P89JTX37TVK7,Kenra US,white,FACE,0.876302,01GPKM074DY2K62TY9Q7GRW35P,https://www.tiktok.com/@kenraprofessional/video/7120335549956885806,j_l8kc8f4p2peu45lccf.0e1d0f371e6c56d34477046de50e51b76eae94ff.file_l8kch49eibjlskonc.S3_link_of_the_video.mp4,00:00:19,00:00:22,475,550,2022-07-14 20:58:33,kenraprofessional,"Voluminous, Fluffy Curls with @ringlet.riss using #kenra Volumizing Powder 14 and Volume Spray 25 #kenraprofessional #curls #curlsroutine #hair #hairtok",947,1,26,0,2022-09-27 15:26:04.973071,TikTok,2022
01GPKM0APTZHBYZ4JJK1AFR562,01GE2B9H1CDVSKN0R6BX6SD0TA,Kenra US,white,FACE,0.888172,01GPKM0APT17GFZ5D3J915X9GY,https://www.tiktok.com/@kenraprofessional/video/7118186260128189738,j_l8kc8f4p2peu45lccf.fd9bf5abe27fd676e0f9375562907072d98b9c77.file_l8kcd1rf1ej8vr2wu5.S3_link_of_the_video.mp4,00:00:21,00:00:21,525,525,2022-07-09 01:58:11,kenraprofessional,Look & smell like summer with @Amberrosepeakehair using #kenra Blow-Dry Spray  #kenrapartner #hairstyle #summer #summertime #summervlog,987,0,21,0,2022-09-27 15:26:05.525326,TikTok,2022
01GPKM0BEY6D1744R6PR9NSXWJ,01GE2B9H1E46DE13MTG6PM56GG,Kenra US,asian,FACE,0.900024,01GPKM0BEYBJJBVFKKGQCHBM62,https://www.tiktok.com/@kenraprofessional/video/7115191116575706414,j_l8kc8f4p2peu45lccf.1f2cd60b47ea5d0f9843824401f72d180fe40adb.file_l8kcchzh2ks0z61eq.S3_link_of_the_video.mp4,00:00:02,00:00:02,50,50,2022-07-01 00:15:30,kenraprofessional,Ulta Beauty x Kenra Professional Salon Takeover! Stop by your nearest @UltaBeauty salon before July 16th to experience #kenra products  #ultabeauty #ulta #ultahaul #summervibes #hair #hairstyle,52800,15,25500,54,2022-09-27 15:26:05.701221,TikTok,2022
01GPKM0BG30MPHPX0NCWB7NMXX,01GE2B9H1E46DE13MTG6PM56GG,Kenra US,white,FACE,0.936571,01GPKM0BG3WGYAJ62KVKERVNKT,https://www.tiktok.com/@kenraprofessional/video/7115191116575706414,j_l8kc8f4p2peu45lccf.1f2cd60b47ea5d0f9843824401f72d180fe40adb.file_l8kcchzh2ks0z61eq.S3_link_of_the_video.mp4,00:00:16,00:00:16,400,400,2022-07-01 00:15:30,kenraprofessional,Ulta Beauty x Kenra Professional Salon Takeover! Stop by your nearest @UltaBeauty salon before July 16th to experience #kenra products  #ultabeauty #ulta #ultahaul #summervibes #hair #hairstyle,52800,15,25500,54,2022-09-27 15:26:05.701221,TikTok,2022
01GPKM032TXJBDM1XZ4X2B73ZA,01GE2B9H1K3YYMX0SCW51NDEJ7,Kenra US,asian,FACE,0.874886,01GPKM032TZKPWZEE4B1X6P8G8,https://www.tiktok.com/@kenraprofessional/video/7114446022335843630,j_l8kc8f4p2peu45lccf.9efbc9ba82e0a9b5fe11ea8bac2420b4564562db.file_l8kccglt2aexn5s7hu.S3_link_of_the_video.mp4,00:00:00,00:00:07,0,175,2022-06-29 00:04:09,kenraprofessional,the chokehold #kenra Texturizing Taffy 13 has on us  #hair #hairtok #fireworks #minions #fallguys,2029,7,75,3,2022-09-27 15:26:07.103899,TikTok,2022
01GPKM0EN3X3DYG6JJMTN2AS0Y,01GE2B9H1QSSNGME0WBZVT3H9F,Kenra US,white,FACE,0.86267,01GPKM0EN3YAQN0VBBRJW8V3CC,https://www.tiktok.com/@kenraprofessional/video/7107052392637664554,j_l8kc8f4p2peu45lccf.62a074a63221eb8c093e84405bb12247092398a1.file_l8kcdkof103lrio651.S3_link_of_the_video.mp4,00:00:00,00:00:14,0,350,2022-06-09 01:53:04,kenraprofessional,Trying this curtain bang hack by @annabellehooper tonight  #kenra #hair #curtainbangs #summervibes #diy #learnontiktok,1574,1,52,0,2022-09-27 15:26:08.906212,TikTok,2022
01GPKM0RQE9953DBDRA3ZSMGNW,01GE2B9H1S1KN358J3BCKJSMDP,Kenra US,white,FACE,0.892567,01GPKM0RQE9PWFR4NB1VBWW009,https://www.tiktok.com/@kenraprofessional/video/7106675006175956270,j_l8kc8f4p2peu45lccf.b339fa9bcd94757e6c678ce9be696f91f942d5dd.file_l8kccy2iz3a2q62xg.S3_link_of_the_video.mp4,00:00:24,00:01:01,600,1525,2022-06-08 01:28:36,kenraprofessional,Model Off-Duty Bun by @Olivia using #kenra Texturizing Taffy 13 & Volume Spray 25.#kenrapartner #hair #hairstyle #hairtok #model #cleangirllook,631200,19,10500,58,2022-09-27 15:26:09.094362,TikTok,2022
01GPKM0H5N2VCZ0HX0SX6BDRPN,01GE2B9H223TTNA9QKVQB5Y3W5,Kenra US,middle eastern,FACE,0.867857,01GPKM0H5NBBH85WSZ1WG468H1,https://www.tiktok.com/@kenraprofessional/video/7101755698773593386,j_l8kc8f4p2peu45lccf.6a3a4246910f15f77d058aa4385ce118c8a2786e.file_l8kcczcm2omncvvt0j.S3_link_of_the_video.mp4,00:00:00,00:00:02,0,50,2022-05-25 19:19:11,kenraprofessional,How To: Messy Bun Hack by @mariaaiellohair  #hairhack #messybuntutorial #messybun #hairhacksandtips #hairbun #springhair #springhairstyle #trending #ScreamItOut,1412,1,54,3,2022-09-27 15:26:11.411081,TikTok,2022
